t,cmd_az_ned,alt_agl,vz_enu,az_meas_enu
0.086,-1,13.008,-0.044,
0.129,-1,13.006,0.002,
0.171,-1,13.005,0.003,
0.213,-1,13.005,0.013,
0.255,-1,13.004,-0.015,
0.296,-1,13.004,0.015,
0.338,-1,13.003,0.020,
0.380,-1,13.002,-0.009,
0.422,-1,13.001,-0.055,
0.463,-1,13.000,-0.034,
0.505,-1,13.000,-0.007,
0.547,-1,13.000,-0.049,
0.588,-1,13.000,0.041,
0.631,-1,13.000,0.027,
0.673,-1,13.000,0.004,
0.715,-1,13.000,-0.017,
0.756,-1,13.001,0.022,
0.798,-1,13.000,-0.043,
0.840,-1,13.000,-0.031,
0.883,-1,12.999,-0.041,
0.925,-1,12.999,-0.019,
0.966,-1,12.999,-0.053,
1.008,-1,12.998,-0.026,
1.049,-1,12.998,-0.011,
1.091,-1,12.999,0.007,
1.135,-1,13.000,0.017,
1.176,-1,13.001,-0.038,
1.218,-1,13.002,0.009,
1.259,-1,13.003,-0.021,
1.301,-1,13.004,0.009,
1.343,-1,13.005,0.003,
1.386,-1,13.005,-0.013,
1.428,-1,13.006,-0.007,
1.470,-1,13.007,-0.017,
1.511,-1,13.008,0.010,
1.553,-1,13.009,0.017,
1.594,-1,13.009,-0.007,
1.637,-1,13.009,-0.016,
1.679,-1,13.009,-0.019,
1.720,-1,13.009,-0.033,
1.762,-1,13.010,-0.032,
1.804,-1,13.010,-0.016,
1.845,-1,13.010,-0.030,
1.888,-1,13.010,-0.008,
1.930,-1,13.010,0.019,
1.971,-1,13.011,0.029,
