wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_gyrox_meas,drone_gyroy_meas,drone_gyroz_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1783904567.3281,0.0000,nan,nan,1,311619,nan,GUIDED,?,0,0.0,2.384185791015625e-07,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39360529160744095,-11.241674528923594,7.254450612879178e-05,0,0,-0.32630154490470886,12.044730186462402,10.00106430053711,-0.0388578362762928,0.03635573759675026,-0.0006563577917404473,0,0,-1000,4,3,4,-0.00018223479855805635,-0.00017130434571299702,0.03163018822669983,0.00010217144154012203,3135,3079,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1783904567.3482,0.0201,0.02010,49.75,2,311639,nan,GUIDED,?,0,0.0,0.010028600692749023,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.39453608920544964,-11.232500650997139,0.00018034660017029374,0,0,-0.3271726965904236,12.045576095581055,10.001087188720703,-0.03889227285981178,0.036360688507556915,-0.0007318118587136269,0,0,-1000,4,3,4,-0.00017460566596128047,-0.00011677442671498284,0.0316198468208313,-4.429696127772331e-05,3135,3135,0.02004265785217285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1783904567.3682,0.0401,0.02001,49.98,3,311659,nan,GUIDED,?,0,0.0,0.020028114318847656,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3954021492285124,-11.223258806714922,9.763275840456533e-05,0,0,-0.32799389958381653,12.046357154846191,10.001091003417969,-0.03891817107796669,0.03634718433022499,-0.000686259416397661,0,0,-1000,4,3,4,-0.00020535416842903942,-0.0001243474252987653,0.03160911425948143,-0.00010725739412009716,3135,3135,0.019935131072998047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1500,1500,1000,1500,1800,1000,1000,1800
1783904567.3882,0.0601,0.01999,50.03,4,311679,nan,GUIDED,?,0,0.0,0.030027270317077637,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3963036309216612,-11.21403126032529,-6.78949200040805e-05,0,0,-0.3288520276546478,12.047183990478516,10.001116752624512,-0.038943201303482056,0.036315299570560455,-0.0006055582780390978,0,0,-1000,4,3,4,-0.00014410885341931134,0.0001436352904420346,0.03159857913851738,-0.0001475755125284195,3135,3135,0.01992511749267578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1500,1500,1000,1500,1800,1000,1000,1800
1783904567.4083,0.0801,0.02005,49.88,5,311699,nan,GUIDED,?,0,0.0,0.04003417491912842,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3970775340879916,-11.204494041796575,-0.00018540992399192354,0,0,-0.32966944575309753,12.047955513000488,10.001126289367676,-0.03891807794570923,0.036141034215688705,-0.0005432170000858605,0,0,-1000,4,3,4,-0.00011423846444813535,0.0008445953135378659,0.031587325036525726,-0.00011379644274711609,3135,3135,0.01997208595275879,nan,nan,nan,nan,nan,nan,831,0.002175459638237953,0.0003752827469725162,0.0008458558586426079,1500,1500,1000,1500,1800,1000,1000,1800
1783904567.4282,0.1001,0.01995,50.12,6,311719,nan,GUIDED,?,0,0.0,0.05002880096435547,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3979481415174744,-11.19469835337794,-0.00032026411282474944,0,0,-0.330519437789917,12.048760414123535,10.001155853271484,-0.038929980248212814,0.03579118102788925,-0.0004824276256840676,0,0,-1000,4,3,4,2.126465187757276e-05,0.0021440035197883844,0.031575631350278854,-4.591839388012886e-05,3135,3135,0.019899368286132812,nan,nan,nan,nan,nan,nan,831,0.002175459638237953,0.0003752827469725162,0.0008458558586426079,1500,1500,1000,1500,1800,1000,1000,1800
1783904567.4483,0.1201,0.02004,49.91,7,311739,nan,GUIDED,?,0,0.0,0.06003451347351074,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3987131498506572,-11.184279971499903,-0.00040793635208279816,0,0,-0.3313610553741455,12.049544334411621,10.001182556152344,-0.038885749876499176,0.03510032966732979,-0.0004472269502002746,0,0,-1000,4,3,4,0.00014736320008523762,0.004129515495151281,0.03156460449099541,-8.372543379664421e-05,3135,3135,0.0199739933013916,nan,nan,nan,nan,nan,nan,831,0.002175459638237953,0.0003752827469725162,0.0008458558586426079,1500,1500,1000,1500,1800,1000,1000,1800
1783904567.4683,0.1401,0.02002,49.94,8,311759,nan,GUIDED,?,0,0.0,0.07003509998321533,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3994092221162274,-11.17299519293775,-0.00036749340932092436,0,0,-0.332166850566864,12.05026912689209,10.001190185546875,-0.03882240131497383,0.03394044190645218,-0.0004749815270770341,0,0,-1000,4,3,4,0.0003699204244185239,0.006793411914259195,0.03155488148331642,-8.660322055220604e-05,3135,3135,0.019936561584472656,nan,nan,nan,nan,nan,nan,831,0.002175459638237953,0.0003752827469725162,0.0008458558586426079,1500,1500,1000,1500,1800,1000,1000,1800
1783904567.4883,0.1601,0.01998,50.06,9,311779,nan,GUIDED,?,0,0.0,0.08003520965576172,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40012160697127785,-11.160661600601088,-0.00019645814795135608,0,0,-0.33299538493156433,12.05099105834961,10.001216888427734,-0.03875534236431122,0.03217639774084091,-0.000589145696721971,0,0,-1000,4,3,4,0.0006056212587282062,0.010210067965090275,0.03154997527599335,5.1173847168684006e-05,3135,3135,0.0199129581451416,nan,nan,nan,nan,nan,nan,831,0.002175459638237953,0.0003752827469725162,0.0008458558586426079,1500,1500,1000,1500,1800,1000,1000,1800
1783904567.5083,0.1801,0.02000,50.00,10,311799,nan,GUIDED,?,0,0.0,0.090035080909729,10.0,0.0,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40074615320372237,-11.146966782082972,-0.0001928693141845185,0,0,-0.33379611372947693,12.05163860321045,10.001226425170898,-0.038653623312711716,0.02966925874352455,-0.0005967237520962954,0,0,-1000,4,3,4,0.0008836806518957019,0.014318425208330154,0.03154696524143219,0.00016798125579953194,3135,3135,0.01993584632873535,nan,nan,nan,nan,nan,nan,831,0.002175459638237953,0.0003752827469725162,0.0008458558586426079,1500,1500,1000,1500,1800,1000,1000,1800
