wall_time,cur_time,cur_loop_dt,cur_ctrl_freq,loop_count,fc_time_boot_ms,hb_age_s,sent_mode,echoed_mode,armed,drone_px_ref,drone_py_ref,drone_pz_ref,drone_vx_ref,drone_vy_ref,drone_vz_ref,payload_px_ref,payload_py_ref,payload_pz_ref,payload_vx_ref,payload_vy_ref,payload_vz_ref,payload_alpha_x,payload_alpha_y,payload_alphadot_x,payload_alphadot_y,ux,uy,uz,yaw_ref,yaw_rate_ref,drone_px_meas,drone_py_meas,drone_pz_meas,drone_vx_meas,drone_vy_meas,drone_vz_meas,drone_ax_meas,drone_ay_meas,drone_az_meas,drone_gyrox_meas,drone_gyroy_meas,drone_gyroz_meas,drone_roll,drone_pitch,drone_yaw,drone_yaw_rate,sent_setpoint_bitmask,echoed_setpoint_bitmask,setpoint_bitmask_callback_dt,batt_voltage,batt_current,batt_rem_percent,GPS_fix_type,sat_count,HDOP,ekf_flags,ekf_pos_horiz_var,ekf_pos_vert_var,ekf_vel_var,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8
1784762359.0419,0.0000,nan,nan,1,3570132,0.001,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,nan,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.0592,0.0201,0.01730,57.79,2,3570132,0.018,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.017191171646118164,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.0792,0.0401,0.02001,49.98,3,3570132,0.038,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.019852876663208008,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.0993,0.0601,0.02004,49.89,4,3570132,0.058,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.01987767219543457,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.1193,0.0802,0.02006,49.84,5,3570132,0.078,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.01990365982055664,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.1395,0.1001,0.02011,49.72,6,3570132,0.000,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.01988363265991211,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.1594,0.1201,0.01999,50.03,7,3570132,0.020,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.019722461700439453,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.1792,0.1401,0.01979,50.54,8,3570132,0.040,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.01963043212890625,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.1994,0.1601,0.02018,49.56,9,3570132,0.060,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.030505791475943143,-0.024627122181022726,-5.2378587062538257e-05,-0.12905526161193848,0,19.985050201416016,-2.8030235625919886e-05,14.684724807739258,-0.017152221873402596,0.014005666598677635,1.317206351814093e-05,0,0,-1001,2,2,0,0.0003365168522577733,-0.0005957885296083987,-0.12905709445476532,-0.0003664433606900275,63,3135,0.01989436149597168,12.312,28.76,0,6,10,1.21,831,0.004639253951609135,2.1347193523979513e-06,0.007242178078740835,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
1784762359.2202,0.1804,0.02082,48.04,10,3571112,0.081,GUIDED,GUIDED,128,19.98584747314453,-0.0003966262738686055,14.68469524383545,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02737595637133558,-0.02308389050105905,2.6694346831807193e-05,-0.12905526161193848,0,19.984798431396484,0.0005471132462844253,14.684717178344727,-0.015199851244688034,0.012782622128725052,-2.807588316500187e-05,0,0,-1001,6,10,0,0.0013694670051336288,0.0009941711323335767,-0.1290348768234253,1.4054356142878532e-05,63,3135,0.020601749420166016,12.312,28.76,0,6,10,1.21,831,0.004926403518766165,1.3383571513259085e-06,0.006829007063060999,1500,1500,1000,1500,1800,1000,1000,1800,1604,1605,1605,1604,0,0,0,0
