t,cmd_az_ned,alt_agl,vz_enu,az_meas_enu
0.040,-1.0,9.659,0.841,
0.082,-1.0,9.659,0.841,
0.122,-1.0,9.751,0.732,
0.163,-1.0,9.780,0.704,
0.204,-1.0,9.808,0.683,
0.245,-1.0,9.835,0.669,
0.285,-1.0,9.861,0.662,
0.327,-1.0,9.887,0.662,
0.367,-1.0,9.914,0.671,
0.408,-1.0,9.941,0.688,
0.449,-1.0,9.968,0.713,
0.490,-1.0,9.997,0.744,
0.531,-1.0,10.027,0.780,
0.575,-1.0,10.059,0.819,
0.616,-1.0,10.092,0.861,
0.657,-1.0,10.127,0.905,
0.698,-1.0,10.164,0.951,
0.739,-1.0,10.202,0.998,
0.779,-1.0,10.242,1.047,
0.824,-1.0,10.284,1.097,
0.865,-1.0,10.328,1.148,
0.906,-1.0,10.374,1.199,
0.947,-1.0,10.422,1.250,
0.988,-1.0,10.472,1.301,
1.028,-1.0,10.525,1.353,
1.073,-1.0,10.635,1.455,
1.114,-1.0,10.693,1.505,
1.156,-1.0,10.754,1.555,
1.196,-1.0,10.816,1.605,
1.237,-1.0,10.880,1.654,
1.278,-1.0,10.947,1.703,
1.322,-1.0,11.015,1.750,
1.363,-1.0,11.085,1.797,
1.404,-1.0,11.157,1.843,
1.444,-1.0,11.231,1.889,
1.485,-1.0,11.308,1.935,
1.526,-1.0,11.386,1.980,
1.569,-1.0,11.464,2.023,
1.610,-1.0,11.545,2.066,
1.650,-1.0,11.627,2.108,
1.691,-1.0,11.712,2.151,
1.732,-1.0,11.798,2.192,
1.773,-1.0,11.886,2.234,
1.817,-1.0,11.975,2.274,
1.858,-1.0,12.066,2.315,
1.898,-1.0,12.159,2.355,
1.939,-1.0,12.254,2.395,
1.980,-1.0,12.350,2.434,
2.020,-1.0,12.449,2.474,
2.064,-1.0,12.548,2.513,
2.106,-1.0,12.649,2.552,
2.146,-1.0,12.751,2.590,
2.187,-1.0,12.855,2.628,
2.228,-1.0,12.961,2.666,
2.269,-1.0,13.067,2.704,
2.313,-1.0,13.176,2.743,
2.354,-1.0,13.286,2.780,
2.394,-1.0,13.511,2.856,
2.435,-1.0,13.626,2.894,
2.476,-1.0,13.742,2.932,
2.517,-1.0,13.742,2.932,
2.560,-1.0,13.979,3.008,
2.602,-1.0,14.100,3.046,
2.643,-1.0,14.222,3.083,
2.684,-1.0,14.346,3.121,
2.724,-1.0,14.472,3.160,
2.765,-1.0,14.472,3.160,
2.809,-1.0,14.727,3.236,
2.850,-1.0,14.858,3.274,
2.891,-1.0,14.989,3.312,
2.932,-1.0,15.123,3.351,
2.973,-1.0,15.257,3.389,
