t,cmd_az_ned,alt_agl,vz_enu,az_meas_enu
0.000,-1,10.353,-0.016,
0.048,-1,10.350,-0.026,
0.096,-1,10.350,-0.024,
0.137,-1,10.350,-0.015,
0.178,-1,10.350,-0.008,
0.218,-1,10.352,0.018,
0.259,-1,10.356,0.042,
0.300,-1,10.362,0.086,
0.343,-1,10.371,0.139,
0.385,-1,10.381,0.189,
0.426,-1,10.395,0.218,
0.468,-1,10.413,0.256,
0.510,-1,10.431,0.316,
0.552,-1,10.453,0.343,
0.595,-1,10.474,0.386,
0.636,-1,10.500,0.432,
0.678,-1,10.529,0.455,
0.720,-1,10.559,0.496,
0.762,-1,10.620,0.558,
0.804,-1,10.652,0.603,
0.847,-1,10.652,0.603,
0.888,-1,10.722,0.663,
0.930,-1,10.758,0.706,
0.972,-1,10.794,0.740,
1.013,-1,10.833,0.761,
1.055,-1,10.878,0.788,
1.098,-1,10.916,0.837,
1.139,-1,10.958,0.857,
1.181,-1,11.001,0.897,
1.222,-1,11.048,0.946,
1.264,-1,11.105,0.976,
1.305,-1,11.147,1.019,
1.349,-1,11.196,1.070,
1.390,-1,11.247,1.091,
1.432,-1,11.299,1.113,
1.474,-1,11.354,1.157,
1.515,-1,11.409,1.182,
1.557,-1,11.470,1.247,
1.600,-1,11.520,1.264,
1.641,-1,11.578,1.311,
1.683,-1,11.700,1.392,
1.725,-1,11.761,1.420,
1.767,-1,11.824,1.455,
1.808,-1,11.889,1.516,
1.852,-1,11.960,1.549,
1.893,-1,12.024,1.601,
1.935,-1,12.093,1.636,
1.977,-1,12.165,1.680,
