frame,wall_time,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
0,1786065106.1593,0.0199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,1786065106.1733,0.0339,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,1786065106.1988,0.0594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,1786065106.2184,0.0789,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1786065106.2392,0.0998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,1786065106.2605,0.1210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,1786065106.2798,0.1404,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1786065106.3003,0.1609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1786065106.3214,0.1820,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1786065106.3430,0.2036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1786065106.3624,0.2230,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1786065106.3836,0.2442,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,1786065106.4056,0.2662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,1786065106.4255,0.2860,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,1786065106.4473,0.3079,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,1786065106.4678,0.3284,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,1786065106.4885,0.3491,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,1786065106.5093,0.3698,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,1786065106.5309,0.3915,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,1786065106.5505,0.4111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,1786065106.5721,0.4326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1786065106.5929,0.4535,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,1786065106.6133,0.4739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,1786065106.6347,0.4953,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,1786065106.6548,0.5154,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,1786065106.6746,0.5352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,1786065106.6970,0.5576,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,1786065106.7175,0.5781,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,1786065106.7380,0.5986,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,1786065106.7596,0.6202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,1786065106.7812,0.6418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,1786065106.8014,0.6620,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,1786065106.8232,0.6838,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,1786065106.8433,0.7039,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,1786065106.8636,0.7242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,1786065106.8840,0.7446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,1786065106.9202,0.7807,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,1786065106.9278,0.7884,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,1786065106.9599,0.8205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,1786065106.9767,0.8372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,1786065106.9953,0.8559,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,1786065107.0138,0.8744,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,1786065107.0414,0.9020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43,1786065107.0580,0.9186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,1786065107.0783,0.9389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,1786065107.0975,0.9581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,1786065107.1179,0.9784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,1786065107.1496,1.0102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,1786065107.1610,1.0216,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,1786065107.1809,1.0415,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,1786065107.2114,1.0719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,1786065107.2249,1.0855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52,1786065107.2429,1.1035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,1786065107.2639,1.1244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,1786065107.2846,1.1452,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,1786065107.3059,1.1665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,1786065107.3263,1.1869,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,1786065107.3470,1.2076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,1786065107.3683,1.2289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,1786065107.3891,1.2497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,1786065107.4108,1.2714,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,1786065107.4540,1.3146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,1786065107.4657,1.3263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,1786065107.4770,1.3376,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,1786065107.4909,1.3515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,1786065107.5155,1.3761,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,1786065107.5359,1.3965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,1786065107.5560,1.4166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,1786065107.5773,1.4379,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,1786065107.5982,1.4588,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,1786065107.6170,1.4776,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,1786065107.6394,1.5000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
