frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
0,0.0408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.0582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0804,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.0999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.1212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.1416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.1624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.1830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.2051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.2240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.2456,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.2654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.2853,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,0.3072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,0.3273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,0.3503,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,0.3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,0.3916,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,0.4114,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,0.4330,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.4533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,0.4742,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,0.4949,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,0.5159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,0.5366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,0.5578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,0.5790,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,0.5997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,0.6206,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,0.6411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,0.6621,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,0.6835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,0.7046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,0.7249,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,0.7454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,0.7660,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,0.7862,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,0.8081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,0.8283,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,0.8493,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,0.8700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,0.8909,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,0.9120,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43,0.9327,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,0.9534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,0.9755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,0.9956,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,1.0161,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,1.0366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
