frame,time_s,marker_id,rx,ry,rz,x,y,z,range_m,u_px,v_px
0,0.0220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.0585,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,0.0987,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.1330,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,0.1581,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.1830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,0.2108,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,0.2347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.2582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.2817,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,0.3045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,0.3276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.3500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,0.3731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,0.3954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,0.4183,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,0.4416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,0.4649,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,0.4906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,0.5132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,0.5366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,0.5613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,0.5879,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,0.6137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,0.6366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,0.6595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,0.6855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,0.7089,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,0.7363,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,0.7642,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,0.7880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,0.8117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,0.8389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,0.8638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,0.8904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,0.9152,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,0.9424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,0.9662,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,0.9901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,1.0141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,1.0377,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
